id,Time,Source,Destination,Sport,Dport,Protocal
372,Sun May 30 10:27:33 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,51530,TCP
373,Sun May 30 10:27:33 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51530,80,TCP
374,Sun May 30 10:29:00 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51109,27018,UDP
375,Sun May 30 10:29:01 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,27018,51109,UDP
376,Sun May 30 10:29:04 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59887,53,UDP
377,Sun May 30 10:29:04 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,53,59887,UDP
378,Sun May 30 10:29:04 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59183,80,TCP
379,Sun May 30 10:29:04 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,59183,TCP
380,Sun May 30 10:29:04 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59183,80,TCP
381,Sun May 30 10:29:04 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59183,80,TCP
382,Sun May 30 10:29:04 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59183,80,TCP
383,Sun May 30 10:29:04 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,59183,TCP
384,Sun May 30 10:29:04 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,59183,TCP
385,Sun May 30 10:29:04 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,59183,TCP
386,Sun May 30 10:29:04 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59183,80,TCP
387,Sun May 30 10:29:04 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,59183,TCP
388,Sun May 30 10:29:04 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59183,80,TCP
389,Sun May 30 10:29:04 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,59183,TCP
390,Sun May 30 10:29:04 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59183,80,TCP
391,Sun May 30 10:29:04 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,59183,TCP
392,Sun May 30 10:29:05 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59183,80,TCP
393,Sun May 30 10:29:05 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,59171,TCP
394,Sun May 30 10:29:05 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59171,80,TCP
395,Sun May 30 10:29:05 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59183,80,TCP
396,Sun May 30 10:29:05 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,59183,TCP
