id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,Source,Destination,Time
25,14.538718938827515,tcp,-,1.862,2,16,132,876,82410.88,53,128,9.07920433398551,52.824461579552064,4.7536,6.3085,0.1375637020300835,0.9629459142105845,6363.075,535.18043,8192,1895312610,217099656,0,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,66,1.3692,92,66,66,66,0,0,0,66,92,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
26,19.348622798919678,tcp,-,1.862,2,17,132,930,82410.88,53,128,6.822190983400129,45.27454016256449,4.7536,6.3085,0.10336653005151711,0.8269322404121369,6363.075,535.18043,8192,1895312610,1474205831,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,78,1.3692,108,78,78,78,0,0,0,78,108,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
27,19.969504833221436,tcp,-,1.862,2,18,132,996,82410.88,53,128,6.610078772729692,46.57100953514101,4.7536,6.3085,0.10015270867772261,0.8512980237606421,6363.075,535.18043,8192,1895312610,3732928209,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,91,1.3692,125,91,91,91,0,0,0,91,125,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
28,19.969504833221436,tcp,-,1.862,3,18,198,996,82410.88,53,128,6.610078772729692,46.57100953514101,4.7536,6.3085,0.10015270867772261,0.8512980237606421,6363.075,535.18043,8192,564908899,3732928209,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,91,1.3692,125,91,91,91,0,0,0,91,125,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
29,19.969504833221436,tcp,-,1.862,3,19,198,1050,82410.88,53,128,6.610078772729692,46.57100953514101,4.7536,6.3085,0.10015270867772261,0.8512980237606421,6363.075,535.18043,8192,564908899,3732928210,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,91,1.3692,125,91,91,91,0,0,0,91,125,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
30,20.002196788787842,tcp,-,1.862,3,20,198,1104,82410.88,53,128,9.898912708977456,52.494234062759226,4.7536,6.3085,0.14998352589359779,0.949895663992786,6363.075,535.18043,8192,564908899,3732928210,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,105,1.3692,143,105,105,105,0,0,0,105,143,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
31,20.30897879600525,tcp,-,1.862,3,21,198,1158,82410.88,53,128,9.749382378544132,54.36019265612486,4.7536,6.3085,0.14771791482642624,0.9847860988428416,6363.075,535.18043,8192,564908899,3732928210,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,120,1.3692,162,120,120,120,0,0,0,120,162,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
32,20.91853380203247,tcp,-,1.862,3,22,198,1212,82410.88,53,128,9.465290534882616,55.35760827976802,4.7536,6.3085,0.1434134929527669,1.0038944506693683,6363.075,535.18043,8192,564908899,3732928210,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,136,1.3692,182,136,136,136,0,0,0,136,182,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
33,22.120231866836548,tcp,-,1.862,3,23,198,1266,82410.88,53,128,8.951081579612588,54.79146906308311,4.7536,6.3085,0.13562244817594832,0.9945646199569542,6363.075,535.18043,8192,564908899,3732928210,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,153,1.3692,203,153,153,153,0,0,0,153,203,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
34,24.530136823654175,tcp,-,1.862,3,24,198,1320,82410.88,53,128,8.071703856501546,51.60998526429777,4.7536,6.3085,0.12229854328032647,0.9376221651491695,6363.075,535.18043,8192,564908899,3732928210,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,171,1.3692,225,171,171,171,0,0,0,171,225,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
35,24.530136823654175,tcp,-,1.862,3,25,198,1374,82410.88,53,128,8.071703856501546,51.60998526429777,4.7536,6.3085,0.12229854328032647,0.9376221651491695,6363.075,535.18043,8192,564908899,1474205832,0,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,171,1.3692,225,171,171,171,0,0,0,171,225,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
36,29.339267015457153,tcp,-,1.862,3,26,198,1428,82410.88,53,128,6.748634854977301,46.83143581181218,4.7536,6.3085,0.10225204325723183,0.8521003604769319,6363.075,535.18043,8192,564908899,3732928210,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,190,1.3692,248,190,190,190,0,0,0,190,248,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
37,0,udp,-,1.862,1,0,78,0,82410.88,115,0,0,0,4.7536,6.3085,0,0,6363.075,535.18043,0,0,0,0,0.05592,0,0,139.5286,116.275,0,1595.37188,1,1.3692,24,1,1,1,0,0,0,1,24,0,180.101.192.199,10.133.144.172,Sun May 30 08:06:36 2021
38,29.9702467918396,tcp,-,1.862,3,27,198,1494,82410.88,53,128,6.60655220409837,47.647255290164,4.7536,6.3085,0.10009927581967226,0.8675270571038263,6363.075,535.18043,8192,564908899,2509064627,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,210,1.3692,273,210,210,210,0,0,0,210,273,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
